session_id,customer_id,cart_value,status,started_at,last_activity_at
sess_sc_0000,cust_0028,571.07,abandoned,2026-08-28T13:39:28.171848,2026-08-28T13:43:32.026868
sess_sc_0001,cust_0028,4442.75,completed,2026-08-28T20:23:12.514727,2026-08-28T20:28:30.215505
sess_sc_0002,cust_0071,20090.31,abandoned,2026-09-03T07:35:21.682737,2026-09-03T07:38:20.757344
sess_sc_0003,cust_0039,280.77,abandoned,2026-08-28T01:10:54.107279,2026-08-28T01:19:07.954738
sess_sc_0004,cust_0008,1014.42,completed,2026-09-02T12:09:54.209169,2026-09-02T12:12:24.564979
sess_sc_0005,cust_0053,422.5,completed,2026-08-31T07:47:15.025801,2026-08-31T07:54:50.416919
sess_sc_0006,cust_0076,246.39,completed,2026-09-02T21:43:37.982222,2026-09-02T21:49:21.049080
sess_sc_0007,cust_0034,718.1,completed,2026-08-31T09:33:25.273125,2026-08-31T09:35:55.812090
sess_sc_0008,cust_0065,303.26,completed,2026-09-02T16:52:43.171095,2026-09-02T16:57:07.556851
sess_sc_0009,cust_0039,554.47,abandoned,2026-09-03T04:22:11.579097,2026-09-03T04:26:30.515876
sess_sc_0010,cust_0027,1855.2,abandoned,2026-08-29T03:05:07.005884,2026-08-29T03:11:35.280201
sess_sc_0011,cust_0055,839.3,completed,2026-09-02T06:28:59.783825,2026-09-02T06:35:49.792590
sess_sc_0012,cust_0045,1158.41,abandoned,2026-09-02T23:53:28.739661,2026-09-03T00:04:36.706868
sess_sc_0013,cust_0040,640.13,completed,2026-08-30T11:16:20.859586,2026-08-30T11:18:09.232403
sess_sc_0014,cust_0002,891.2,completed,2026-08-27T17:40:42.426863,2026-08-27T17:46:32.063080
sess_sc_0015,cust_0046,1886.57,completed,2026-09-02T21:11:39.047791,2026-09-02T21:16:19.112059
sess_sc_0016,cust_0050,1749.64,completed,2026-08-28T09:45:06.833085,2026-08-28T09:46:38.912424
sess_sc_0017,cust_0014,753.35,completed,2026-08-30T18:51:30.204397,2026-08-30T18:59:12.658204
sess_sc_0018,cust_0018,254.9,completed,2026-09-01T20:18:24.600157,2026-09-01T20:24:43.890581
sess_sc_0019,cust_0009,2751.33,completed,2026-09-02T06:14:22.021213,2026-09-02T06:20:41.169616
sess_sc_0020,cust_0057,3498.03,completed,2026-08-29T17:34:10.472315,2026-08-29T17:37:26.219776
sess_sc_0021,cust_0040,439.29,completed,2026-09-02T10:38:20.963637,2026-09-02T10:41:16.326577
sess_sc_0022,cust_0007,529.74,abandoned,2026-09-01T00:52:25.343759,2026-09-01T00:57:28.710575
sess_sc_0023,cust_0036,4827.72,completed,2026-09-02T23:06:33.090490,2026-09-02T23:11:06.058973
sess_sc_0024,cust_0059,17855.77,abandoned,2026-08-30T10:30:16.774398,2026-08-30T10:41:16.747369
sess_sc_0025,cust_0073,548.75,abandoned,2026-08-29T22:29:28.707429,2026-08-29T22:31:09.544071
