customer_id,preferred_method,is_repeat_failer,signup_days_ago
cust_sc_0000,UPI,False,291
cust_sc_0001,UPI,False,114
cust_sc_0002,netbanking,False,99
cust_sc_0003,UPI,False,105
cust_sc_0004,card,False,37
cust_sc_0005,card,False,728
cust_sc_0006,UPI,False,613
cust_sc_0007,netbanking,False,787
cust_sc_0008,card,False,358
cust_sc_0009,UPI,False,791
cust_sc_0010,UPI,False,109
cust_sc_0011,UPI,False,280
cust_sc_0012,card,False,559
cust_sc_0013,netbanking,True,90
cust_sc_0014,netbanking,False,643
cust_sc_0015,UPI,False,206
cust_sc_0016,UPI,False,243
cust_sc_0017,wallet,False,885
cust_sc_0018,UPI,False,294
cust_sc_0019,netbanking,False,176
cust_sc_0020,UPI,False,283
cust_sc_0021,card,False,83
cust_sc_0022,UPI,False,756
cust_sc_0023,card,False,286
cust_sc_0024,card,False,580
cust_sc_0025,UPI,False,796
cust_sc_0026,UPI,False,42
cust_sc_0027,UPI,False,77
cust_sc_0028,netbanking,False,745
cust_sc_0029,card,False,415
cust_sc_0030,card,False,156
cust_sc_0031,UPI,False,584
cust_sc_0032,card,False,448
cust_sc_0033,UPI,False,234
cust_sc_0034,UPI,False,515
cust_sc_0035,UPI,True,122
cust_sc_0036,UPI,False,706
cust_sc_0037,UPI,False,400
cust_sc_0038,card,False,267
cust_sc_0039,netbanking,False,21
cust_sc_0040,UPI,False,559
cust_sc_0041,card,False,358
cust_sc_0042,UPI,True,474
cust_sc_0043,card,True,746
cust_sc_0044,card,False,192
cust_sc_0045,UPI,False,650
cust_sc_0046,card,False,633
cust_sc_0047,UPI,False,175
cust_sc_0048,card,False,553
cust_sc_0049,card,False,510
cust_sc_0050,netbanking,True,861
cust_sc_0051,UPI,False,256
cust_sc_0052,netbanking,False,97
cust_sc_0053,netbanking,False,788
cust_sc_0054,UPI,False,685
cust_sc_0055,card,False,281
cust_sc_0056,card,False,226
cust_sc_0057,card,False,716
cust_sc_0058,UPI,False,697
cust_sc_0059,UPI,False,539
cust_sc_0060,UPI,False,75
cust_sc_0061,card,False,245
cust_sc_0062,UPI,False,734
cust_sc_0063,UPI,False,42
cust_sc_0064,UPI,False,253
cust_sc_0065,card,False,562
cust_sc_0066,netbanking,True,594
cust_sc_0067,UPI,False,494
cust_sc_0068,UPI,False,109
cust_sc_0069,UPI,False,430
cust_sc_0070,card,False,699
cust_sc_0071,card,False,72
cust_sc_0072,UPI,False,892
cust_sc_0073,UPI,True,559
cust_sc_0074,UPI,False,295
cust_sc_0075,netbanking,False,87
cust_sc_0076,netbanking,False,573
cust_sc_0077,card,True,563
cust_sc_0078,wallet,False,781
cust_sc_0079,UPI,False,507
cust_sc_0080,UPI,False,291
cust_sc_0081,UPI,False,114
cust_sc_0082,netbanking,False,99
cust_sc_0083,UPI,False,105
cust_sc_0084,card,False,37
cust_sc_0085,card,False,728
cust_sc_0086,UPI,False,613
cust_sc_0087,netbanking,False,787
cust_sc_0088,card,False,358
cust_sc_0089,UPI,False,791
cust_sc_0090,UPI,False,109
cust_sc_0091,UPI,False,280
cust_sc_0092,card,False,559
cust_sc_0093,netbanking,True,90
cust_sc_0094,netbanking,False,643
cust_sc_0095,UPI,False,206
cust_sc_0096,UPI,False,243
cust_sc_0097,wallet,False,885
cust_sc_0098,UPI,False,294
cust_sc_0099,netbanking,False,176
cust_sc_0100,UPI,False,283
cust_sc_0101,card,False,83
cust_sc_0102,UPI,False,756
