transaction_id,customer_id,amount,payment_method,status,failure_code,failure_source,failure_category,is_disputed,timestamp,retry_count,created_at,last_contact_at
txn_scaled_0000,cust_0061,957.38,card,success,,,,False,2026-09-02T00:05:25.633444,0,,
txn_scaled_0001,cust_0033,3568.46,UPI,success,,,,False,2026-08-28T00:20:41.869111,0,,
txn_scaled_0002,cust_0071,137.02,card,success,,,,False,2026-08-29T20:48:20.230532,0,,
txn_scaled_0003,cust_0069,856.53,UPI,success,,,,False,2026-09-03T01:45:32.860771,0,,
txn_scaled_0004,cust_0067,684.0,UPI,success,,,,False,2026-09-02T09:33:04.686142,0,,
txn_scaled_0005,cust_0030,124.71,card,success,,,,False,2026-08-31T16:09:56.546563,0,,
txn_scaled_0006,cust_0010,8766.47,UPI,success,,,,False,2026-08-31T13:34:12.771205,0,,
txn_scaled_0007,cust_0040,404.77,UPI,success,,,,False,2026-09-01T19:54:02.735858,0,,
txn_scaled_0008,cust_0009,589.62,UPI,success,,,,False,2026-09-03T10:26:06.011676,0,,
txn_scaled_0009,cust_0064,272.66,netbanking,success,,,,False,2026-09-01T15:26:46.789159,0,,
txn_scaled_0010,cust_0069,831.71,card,success,,,,False,2026-08-29T13:48:19.053307,0,,
txn_scaled_0011,cust_0038,344.29,UPI,failed,payment_timed_out,gateway,technical_decline,False,2026-08-27T23:27:53.947349,0,,
txn_scaled_0012,cust_0026,22666.65,UPI,failed,insufficient_funds,customer,business_decline,False,2026-08-29T11:26:28.149218,0,,
txn_scaled_0013,cust_0011,198.32,UPI,success,,,,False,2026-08-30T01:26:24.766267,0,,
txn_scaled_0014,cust_0033,1064.07,card,success,,,,False,2026-09-02T08:51:15.220750,0,,
txn_scaled_0015,cust_0019,205.62,netbanking,success,,,,False,2026-08-30T16:20:26.993089,0,,
txn_scaled_0016,cust_0039,688.93,UPI,success,,,,False,2026-08-31T22:44:18.763530,0,,
txn_scaled_0017,cust_0013,4959.39,wallet,success,,,,False,2026-09-01T00:34:55.161785,0,,
txn_scaled_0018,cust_0030,682.43,netbanking,success,,,,False,2026-08-28T10:44:46.474926,0,,
txn_scaled_0019,cust_0042,765.32,UPI,failed,incorrect_otp,customer,business_decline,False,2026-08-29T00:33:32.647130,0,,
txn_scaled_0020,cust_0048,3139.0,card,success,,,,False,2026-08-28T09:28:33.529698,0,,
