subscription_id,customer_id,monthly_amount,status,last_renewal_status,last_renewal_failure_code,last_renewal_attempt_at
sub_sc_0000,cust_0078,188.62,active,failed,authentication_failed,2026-09-02T20:33:37.415222
sub_sc_0001,cust_0043,899.73,active,failed,authentication_failed,2026-08-30T17:24:15.045570
sub_sc_0002,cust_0064,183.97,active,failed,insufficient_funds,2026-09-03T06:33:48.951734
sub_sc_0003,cust_0060,2116.21,active,success,,2026-09-02T18:07:37.632903
sub_sc_0004,cust_0017,1083.36,active,success,,2026-08-29T20:14:08.706251
sub_sc_0005,cust_0050,866.29,active,success,,2026-08-31T12:45:10.948767
sub_sc_0006,cust_0065,2174.29,active,failed,bank_technical_error,2026-08-30T22:57:04.403620
sub_sc_0007,cust_0047,1127.72,active,success,,2026-08-31T03:08:35.638452
sub_sc_0008,cust_0074,1014.75,active,success,,2026-08-30T12:23:21.920382
sub_sc_0009,cust_0003,1768.05,active,success,,2026-09-02T04:08:10.851222
sub_sc_0010,cust_0074,503.48,active,success,,2026-08-30T21:25:55.151488
sub_sc_0011,cust_0021,1887.64,active,success,,2026-09-02T18:16:00.894014
sub_sc_0012,cust_0004,204.8,active,success,,2026-09-02T13:06:21.170379
sub_sc_0013,cust_0053,425.65,active,failed,authentication_failed,2026-09-01T10:26:41.232571
sub_sc_0014,cust_0078,1723.5,active,success,,2026-08-30T03:15:42.749750
sub_sc_0015,cust_0007,480.25,active,success,,2026-08-31T21:45:28.852606
sub_sc_0016,cust_0061,1870.67,active,failed,payment_timed_out,2026-09-01T22:20:58.877345
sub_sc_0017,cust_0043,1078.52,active,success,,2026-08-31T02:53:44.774928
sub_sc_0018,cust_0033,1741.51,active,failed,card_expired,2026-09-02T12:55:41.878933
sub_sc_0019,cust_0028,889.77,active,success,,2026-08-30T15:27:32.715754
sub_sc_0020,cust_0062,1046.01,active,success,,2026-09-01T02:25:24.921177
sub_sc_0021,cust_0035,1060.89,active,success,,2026-09-02T21:22:30.386323
sub_sc_0022,cust_0048,2267.22,active,success,,2026-08-30T09:47:40.937224
sub_sc_0023,cust_0018,1053.76,active,success,,2026-09-03T06:57:07.277688
sub_sc_0024,cust_0010,908.43,active,success,,2026-08-29T21:07:07.839024
sub_sc_0025,cust_0061,466.0,active,success,,2026-09-02T11:45:06.620889
sub_sc_0026,cust_0071,1071.68,active,success,,2026-09-02T19:31:38.083526
sub_sc_0027,cust_0075,499.8,active,success,,2026-09-02T06:54:18.127407
sub_sc_0028,cust_0067,426.25,active,failed,authentication_failed,2026-08-31T07:26:47.944287
sub_sc_0029,cust_0060,202.51,active,failed,bank_not_available,2026-08-31T02:15:25.061797
sub_sc_0030,cust_0020,1947.51,active,success,,2026-08-31T05:39:10.311393
sub_sc_0031,cust_0060,2122.68,active,success,,2026-08-31T05:56:07.285110
sub_sc_0032,cust_0036,857.17,active,failed,incorrect_otp,2026-09-02T01:45:00.572558
sub_sc_0033,cust_0073,507.77,active,success,,2026-08-31T19:46:54.216382
sub_sc_0034,cust_0004,561.29,active,success,,2026-09-01T09:51:13.687670
sub_sc_0035,cust_0004,2020.62,active,failed,incorrect_otp,2026-08-30T13:26:41.007894
sub_sc_0036,cust_0037,192.71,active,success,,2026-09-03T10:53:16.583217
sub_sc_0037,cust_0013,905.76,active,success,,2026-09-02T01:51:09.366185
sub_sc_0038,cust_0069,1779.27,active,failed,authentication_failed,2026-08-30T01:17:19.695651
sub_sc_0039,cust_0034,489.2,active,success,,2026-08-30T10:56:32.404599
sub_sc_0040,cust_0078,193.78,active,failed,authentication_failed,2026-09-02T20:33:37.415222
sub_sc_0041,cust_0043,1020.63,active,failed,authentication_failed,2026-08-30T17:24:15.045570
sub_sc_0042,cust_0064,174.86,active,failed,insufficient_funds,2026-09-03T06:33:48.951734
sub_sc_0043,cust_0060,1909.12,active,success,,2026-09-02T18:07:37.632903
sub_sc_0044,cust_0017,1100.47,active,success,,2026-08-29T20:14:08.706251
sub_sc_0045,cust_0050,881.82,active,success,,2026-08-31T12:45:10.948767
sub_sc_0046,cust_0065,1835.79,active,failed,bank_technical_error,2026-08-30T22:57:04.403620
sub_sc_0047,cust_0047,1100.49,active,success,,2026-08-31T03:08:35.638452
sub_sc_0048,cust_0074,920.61,active,success,,2026-08-30T12:23:21.920382
sub_sc_0049,cust_0003,1935.17,active,success,,2026-09-02T04:08:10.851222
sub_sc_0050,cust_0074,515.49,active,success,,2026-08-30T21:25:55.151488
sub_sc_0051,cust_0021,2253.45,active,success,,2026-09-02T18:16:00.894014
sub_sc_0052,cust_0004,223.26,active,success,,2026-09-02T13:06:21.170379
sub_sc_0053,cust_0053,486.9,active,failed,authentication_failed,2026-09-01T10:26:41.232571
sub_sc_0054,cust_0078,2001.85,active,success,,2026-08-30T03:15:42.749750
sub_sc_0055,cust_0007,502.66,active,success,,2026-08-31T21:45:28.852606
sub_sc_0056,cust_0061,1883.39,active,failed,payment_timed_out,2026-09-01T22:20:58.877345
sub_sc_0057,cust_0043,1059.69,active,success,,2026-08-31T02:53:44.774928
