session_id,customer_id,cart_value,status,started_at,last_activity_at
sess_00000,cust_0028,599.64,abandoned,2026-08-28T13:39:28.171848,2026-08-28T13:43:32.026868
sess_00001,cust_0028,4897.21,completed,2026-08-28T20:23:12.514727,2026-08-28T20:28:30.215505
sess_00002,cust_0071,21589.22,abandoned,2026-09-03T07:35:21.682737,2026-09-03T07:38:20.757344
sess_00003,cust_0039,262.27,abandoned,2026-08-28T01:10:54.107279,2026-08-28T01:19:07.954738
sess_00004,cust_0008,1122.6,completed,2026-09-02T12:09:54.209169,2026-09-02T12:12:24.564979
sess_00005,cust_0053,379.47,completed,2026-08-31T07:47:15.025801,2026-08-31T07:54:50.416919
sess_00006,cust_0076,240.67,completed,2026-09-02T21:43:37.982222,2026-09-02T21:49:21.049080
sess_00007,cust_0034,645.37,completed,2026-08-31T09:33:25.273125,2026-08-31T09:35:55.812090
sess_00008,cust_0065,353.92,completed,2026-09-02T16:52:43.171095,2026-09-02T16:57:07.556851
sess_00009,cust_0039,638.39,abandoned,2026-09-03T04:22:11.579097,2026-09-03T04:26:30.515876
sess_00010,cust_0027,2157.5,abandoned,2026-08-29T03:05:07.005884,2026-08-29T03:11:35.280201
sess_00011,cust_0055,732.3,completed,2026-09-02T06:28:59.783825,2026-09-02T06:35:49.792590
sess_00012,cust_0045,1169.17,abandoned,2026-09-02T23:53:28.739661,2026-09-03T00:04:36.706868
sess_00013,cust_0040,737.55,completed,2026-08-30T11:16:20.859586,2026-08-30T11:18:09.232403
sess_00014,cust_0002,951.85,completed,2026-08-27T17:40:42.426863,2026-08-27T17:46:32.063080
sess_00015,cust_0046,1973.02,completed,2026-09-02T21:11:39.047791,2026-09-02T21:16:19.112059
sess_00016,cust_0050,1886.07,completed,2026-08-28T09:45:06.833085,2026-08-28T09:46:38.912424
sess_00017,cust_0014,797.61,completed,2026-08-30T18:51:30.204397,2026-08-30T18:59:12.658204
sess_00018,cust_0018,276.54,completed,2026-09-01T20:18:24.600157,2026-09-01T20:24:43.890581
sess_00019,cust_0009,2975.97,completed,2026-09-02T06:14:22.021213,2026-09-02T06:20:41.169616
sess_00020,cust_0057,3571.32,completed,2026-08-29T17:34:10.472315,2026-08-29T17:37:26.219776
sess_00021,cust_0040,496.99,completed,2026-09-02T10:38:20.963637,2026-09-02T10:41:16.326577
sess_00022,cust_0007,514.57,abandoned,2026-09-01T00:52:25.343759,2026-09-01T00:57:28.710575
sess_00023,cust_0036,4420.32,completed,2026-09-02T23:06:33.090490,2026-09-02T23:11:06.058973
sess_00024,cust_0059,19778.42,abandoned,2026-08-30T10:30:16.774398,2026-08-30T10:41:16.747369
sess_00025,cust_0073,527.07,abandoned,2026-08-29T22:29:28.707429,2026-08-29T22:31:09.544071
sess_00026,cust_0013,4928.56,abandoned,2026-08-28T19:45:27.272512,2026-08-28T19:53:33.716392
sess_00027,cust_0005,494.48,completed,2026-09-01T18:22:44.595968,2026-09-01T18:24:51.269375
sess_00028,cust_0047,796.02,completed,2026-08-28T01:47:11.829942,2026-08-28T01:48:33.823459
sess_00029,cust_0042,709.54,abandoned,2026-09-03T00:55:36.510532,2026-09-03T01:04:34.174744
sess_00030,cust_0077,623.47,abandoned,2026-08-28T09:17:20.460386,2026-08-28T09:22:11.342106
sess_00031,cust_0050,1338.79,completed,2026-09-02T14:20:10.037077,2026-09-02T14:25:40.304248
sess_00032,cust_0042,4315.01,completed,2026-08-28T19:23:05.842749,2026-08-28T19:28:53.716814
sess_00033,cust_0067,3033.45,abandoned,2026-09-02T20:17:59.646728,2026-09-02T20:22:23.498334
sess_00034,cust_0027,1767.83,completed,2026-09-01T02:35:20.277664,2026-09-01T02:37:25.354637
sess_00035,cust_0037,792.79,completed,2026-08-28T14:08:09.710523,2026-08-28T14:15:20.857033
sess_00036,cust_0004,3471.51,completed,2026-08-29T20:47:45.197238,2026-08-29T20:49:49.983398
sess_00037,cust_0023,4235.37,abandoned,2026-08-28T16:20:02.509714,2026-08-28T16:25:51.374161
sess_00038,cust_0052,4877.38,completed,2026-08-31T22:47:51.714334,2026-08-31T22:54:07.718623
sess_00039,cust_0057,968.04,completed,2026-09-01T20:41:15.019266,2026-09-01T20:48:34.688488
sess_00040,cust_0024,24688.8,completed,2026-08-31T22:12:09.788466,2026-08-31T22:15:08.132594
sess_00041,cust_0048,244.85,abandoned,2026-08-30T23:30:42.032988,2026-08-30T23:38:21.110863
sess_00042,cust_0032,433.09,completed,2026-09-03T03:14:01.654988,2026-09-03T03:20:00.443398
sess_00043,cust_0066,785.81,abandoned,2026-08-28T13:00:14.774118,2026-08-28T13:11:12.276216
sess_00044,cust_0018,918.45,completed,2026-08-28T16:23:02.944568,2026-08-28T16:30:14.489073
sess_00045,cust_0003,435.57,completed,2026-08-31T14:17:50.351361,2026-08-31T14:19:24.625645
sess_00046,cust_0028,21783.53,completed,2026-09-03T07:15:52.172465,2026-09-03T07:22:24.552333
sess_00047,cust_0017,14449.1,completed,2026-09-03T05:33:54.230012,2026-09-03T05:40:12.943297
sess_00048,cust_0060,170.3,abandoned,2026-08-31T08:38:05.828536,2026-08-31T08:48:16.904182
sess_00049,cust_0070,2692.6,completed,2026-08-27T22:02:31.345838,2026-08-27T22:05:11.154733
sess_00050,cust_0015,813.51,completed,2026-09-03T03:58:41.134685,2026-09-03T04:00:27.695001
sess_00051,cust_0063,562.84,abandoned,2026-08-30T07:44:52.226903,2026-08-30T07:47:26.987618
sess_00052,cust_0054,612.6,abandoned,2026-09-03T11:44:13.889627,2026-09-03T11:52:34.911463
sess_00053,cust_0067,572.45,completed,2026-08-27T16:15:28.963872,2026-08-27T16:23:24.063096
sess_00054,cust_0070,1174.09,completed,2026-09-03T08:35:01.811557,2026-09-03T08:38:38.598560
sess_00055,cust_0002,316.01,completed,2026-09-01T00:00:29.623484,2026-09-01T00:02:13.162308
sess_00056,cust_0074,138.9,completed,2026-08-29T08:29:18.911586,2026-08-29T08:36:00.585310
sess_00057,cust_0022,4922.3,completed,2026-08-28T16:29:43.964389,2026-08-28T16:32:00.521148
sess_00058,cust_0017,2830.26,abandoned,2026-09-03T01:23:56.795203,2026-09-03T01:25:25.707345
sess_00059,cust_0025,378.07,completed,2026-08-28T07:11:13.974778,2026-08-28T07:17:56.445332
sess_00060,cust_0060,1764.22,completed,2026-09-01T17:26:35.834805,2026-09-01T17:33:03.788263
sess_00061,cust_0042,2747.37,completed,2026-09-01T14:05:58.596622,2026-09-01T14:10:03.286008
sess_00062,cust_0049,721.86,completed,2026-09-01T03:02:30.647139,2026-09-01T03:09:05.509309
sess_00063,cust_0034,1315.63,completed,2026-08-28T21:24:25.636739,2026-08-28T21:31:11.020076
sess_00064,cust_0069,394.13,abandoned,2026-09-01T10:38:50.069787,2026-09-01T10:44:44.374191
sess_00065,cust_0054,501.42,completed,2026-09-02T08:00:13.241855,2026-09-02T08:07:36.116892
sess_00066,cust_0078,981.02,completed,2026-08-27T12:18:38.518467,2026-08-27T12:20:10.035756
sess_00067,cust_0051,3716.96,completed,2026-08-31T22:57:49.428182,2026-08-31T22:59:49.395559
sess_00068,cust_0077,212.61,abandoned,2026-08-29T18:04:51.850217,2026-08-29T18:12:57.657715
sess_00069,cust_0046,643.59,completed,2026-08-31T19:40:49.657859,2026-08-31T19:48:28.163741
sess_00070,cust_0047,222.93,completed,2026-08-31T09:25:05.517907,2026-08-31T09:28:17.559792
sess_00071,cust_0035,761.11,completed,2026-09-01T18:03:54.872209,2026-09-01T18:07:37.406909
sess_00072,cust_0071,3815.45,abandoned,2026-09-02T16:12:58.149927,2026-09-02T16:20:41.988868
sess_00073,cust_0062,165.65,abandoned,2026-09-02T02:22:12.139369,2026-09-02T02:31:02.963499
sess_00074,cust_0011,24731.49,completed,2026-08-28T19:50:01.605537,2026-08-28T19:55:59.612541
sess_00075,cust_0070,4404.6,completed,2026-08-30T16:54:54.760731,2026-08-30T17:02:24.237003
sess_00076,cust_0022,208.23,abandoned,2026-08-28T22:39:32.427051,2026-08-28T22:42:04.085787
sess_00077,cust_0063,431.02,completed,2026-09-03T07:35:03.420586,2026-09-03T07:39:55.112298
sess_00078,cust_0078,457.34,completed,2026-08-28T07:26:47.748954,2026-08-28T07:31:08.788300
