customer_id,preferred_method,is_repeat_failer,signup_days_ago
cust_0000,UPI,False,291
cust_0001,UPI,False,114
cust_0002,netbanking,False,99
cust_0003,UPI,False,105
cust_0004,card,False,37
cust_0005,card,False,728
cust_0006,UPI,False,613
cust_0007,netbanking,False,787
cust_0008,card,False,358
cust_0009,UPI,False,791
cust_0010,UPI,False,109
cust_0011,UPI,False,280
cust_0012,card,False,559
cust_0013,netbanking,True,90
cust_0014,netbanking,False,643
cust_0015,UPI,False,206
cust_0016,UPI,False,243
cust_0017,wallet,False,885
cust_0018,UPI,False,294
cust_0019,netbanking,False,176
cust_0020,UPI,False,283
cust_0021,card,False,83
cust_0022,UPI,False,756
cust_0023,card,False,286
cust_0024,card,False,580
cust_0025,UPI,False,796
cust_0026,UPI,False,42
cust_0027,UPI,False,77
cust_0028,netbanking,False,745
cust_0029,card,False,415
cust_0030,card,False,156
cust_0031,UPI,False,584
cust_0032,card,False,448
cust_0033,UPI,False,234
cust_0034,UPI,False,515
cust_0035,UPI,True,122
cust_0036,UPI,False,706
cust_0037,UPI,False,400
cust_0038,card,False,267
cust_0039,netbanking,False,21
cust_0040,UPI,False,559
cust_0041,card,False,358
cust_0042,UPI,True,474
cust_0043,card,True,746
cust_0044,card,False,192
cust_0045,UPI,False,650
cust_0046,card,False,633
cust_0047,UPI,False,175
cust_0048,card,False,553
cust_0049,card,False,510
cust_0050,netbanking,True,861
cust_0051,UPI,False,256
cust_0052,netbanking,False,97
cust_0053,netbanking,False,788
cust_0054,UPI,False,685
cust_0055,card,False,281
cust_0056,card,False,226
cust_0057,card,False,716
cust_0058,UPI,False,697
cust_0059,UPI,False,539
cust_0060,UPI,False,75
cust_0061,card,False,245
cust_0062,UPI,False,734
cust_0063,UPI,False,42
cust_0064,UPI,False,253
cust_0065,card,False,562
cust_0066,netbanking,True,594
cust_0067,UPI,False,494
cust_0068,UPI,False,109
cust_0069,UPI,False,430
cust_0070,card,False,699
cust_0071,card,False,72
cust_0072,UPI,False,892
cust_0073,UPI,True,559
cust_0074,UPI,False,295
cust_0075,netbanking,False,87
cust_0076,netbanking,False,573
cust_0077,card,True,563
cust_0078,wallet,False,781
cust_0079,UPI,False,507
