invoice_id,customer_id,amount,due_date,status,created_at,promise_to_pay_date,promise_to_pay_status
inv_0000,cust_0058,99001.37,2026-08-04T23:27:01.479738,paid,2026-07-05T23:27:01.479738,,
inv_0001,cust_0043,119661.31,2026-08-13T06:31:43.631056,unpaid,2026-07-14T06:31:43.631056,,
inv_0002,cust_0022,93588.4,2026-08-09T08:52:55.026510,paid,2026-07-10T08:52:55.026510,,
inv_0003,cust_0054,79715.7,2026-09-08T17:30:22.117681,unpaid,2026-08-09T17:30:22.117681,2026-09-11T20:07:24.340633,kept
inv_0004,cust_0023,147344.35,2026-08-18T05:45:38.123976,unpaid,2026-07-19T05:45:38.123976,,
inv_0005,cust_0000,42813.87,2026-08-31T13:06:43.006687,unpaid,2026-08-01T13:06:43.006687,2026-09-06T01:57:12.418823,kept
inv_0006,cust_0042,48782.15,2026-08-04T17:47:42.225038,paid,2026-07-05T17:47:42.225038,,
inv_0007,cust_0046,105451.45,2026-09-10T01:59:45.175284,paid,2026-08-11T01:59:45.175284,,
inv_0008,cust_0039,28158.94,2026-08-06T18:22:58.158277,unpaid,2026-07-07T18:22:58.158277,,
inv_0009,cust_0039,105092.1,2026-08-09T08:54:03.782653,unpaid,2026-07-10T08:54:03.782653,,
inv_0010,cust_0047,94120.69,2026-09-01T10:45:00.888355,paid,2026-08-02T10:45:00.888355,,
inv_0011,cust_0019,70971.91,2026-07-21T02:44:02.005073,paid,2026-06-21T02:44:02.005073,,
inv_0012,cust_0070,137355.55,2026-08-02T20:17:50.313258,unpaid,2026-07-03T20:17:50.313258,2026-08-09T05:26:51.096776,broken
inv_0013,cust_0027,115469.64,2026-08-07T01:56:55.196543,unpaid,2026-07-08T01:56:55.196543,2026-08-10T19:07:47.221311,kept
inv_0014,cust_0010,81198.47,2026-08-15T10:48:41.314404,paid,2026-07-16T10:48:41.314404,,
inv_0015,cust_0072,21270.27,2026-07-29T22:01:05.695590,unpaid,2026-06-29T22:01:05.695590,,
inv_0016,cust_0025,88041.74,2026-09-05T06:11:41.483671,paid,2026-08-06T06:11:41.483671,,
inv_0017,cust_0066,69066.88,2026-08-07T02:00:37.029314,unpaid,2026-07-08T02:00:37.029314,2026-08-10T18:55:06.570956,kept
inv_0018,cust_0062,18186.54,2026-08-16T10:18:16.317636,unpaid,2026-07-17T10:18:16.317636,,
inv_0019,cust_0058,24131.93,2026-08-21T15:38:22.425090,unpaid,2026-07-22T15:38:22.425090,,
inv_0020,cust_0071,72044.85,2026-07-31T02:52:18.244662,unpaid,2026-07-01T02:52:18.244662,,
inv_0021,cust_0050,41896.3,2026-09-13T08:01:10.478999,paid,2026-08-14T08:01:10.478999,,
inv_0022,cust_0009,11567.02,2026-08-25T13:13:18.826097,paid,2026-07-26T13:13:18.826097,,
inv_0023,cust_0007,140514.51,2026-09-09T16:53:41.017446,unpaid,2026-08-10T16:53:41.017446,,
inv_0024,cust_0004,46628.15,2026-09-03T14:25:28.734924,paid,2026-08-04T14:25:28.734924,,
inv_0025,cust_0053,59296.83,2026-07-26T11:26:22.708002,paid,2026-06-26T11:26:22.708002,,
inv_0026,cust_0048,59468.6,2026-08-06T22:47:45.357309,unpaid,2026-07-07T22:47:45.357309,2026-08-12T09:51:00.081664,broken
inv_0027,cust_0069,24283.52,2026-07-28T04:25:18.166484,paid,2026-06-28T04:25:18.166484,,
inv_0028,cust_0068,61993.5,2026-09-06T11:54:06.641043,unpaid,2026-08-07T11:54:06.641043,,
inv_0029,cust_0000,114646.02,2026-07-21T16:23:32.275909,paid,2026-06-21T16:23:32.275909,,
inv_0030,cust_0069,66498.56,2026-08-23T15:21:18.223903,paid,2026-07-24T15:21:18.223903,,
inv_0031,cust_0058,55193.16,2026-08-29T08:08:32.493518,unpaid,2026-07-30T08:08:32.493518,,
inv_0032,cust_0014,9671.51,2026-08-08T04:32:20.597068,unpaid,2026-07-09T04:32:20.597068,,
inv_0033,cust_0002,39896.61,2026-09-09T19:10:33.629469,unpaid,2026-08-10T19:10:33.629469,2026-09-14T13:06:07.664418,kept
inv_0034,cust_0057,91678.81,2026-08-05T19:39:43.659858,paid,2026-07-06T19:39:43.659858,,
