subscription_id,customer_id,monthly_amount,status,last_renewal_status,last_renewal_failure_code,last_renewal_attempt_at
sub_0000,cust_0078,199,active,failed,authentication_failed,2026-09-02T20:33:37.415222
sub_0001,cust_0043,999,active,failed,authentication_failed,2026-08-30T17:24:15.045570
sub_0002,cust_0064,199,active,failed,insufficient_funds,2026-09-03T06:33:48.951734
sub_0003,cust_0060,1999,active,success,,2026-09-02T18:07:37.632903
sub_0004,cust_0017,999,active,success,,2026-08-29T20:14:08.706251
sub_0005,cust_0050,999,active,success,,2026-08-31T12:45:10.948767
sub_0006,cust_0065,1999,active,failed,bank_technical_error,2026-08-30T22:57:04.403620
sub_0007,cust_0047,999,active,success,,2026-08-31T03:08:35.638452
sub_0008,cust_0074,999,active,success,,2026-08-30T12:23:21.920382
sub_0009,cust_0003,1999,active,success,,2026-09-02T04:08:10.851222
sub_0010,cust_0074,499,active,success,,2026-08-30T21:25:55.151488
sub_0011,cust_0021,1999,active,success,,2026-09-02T18:16:00.894014
sub_0012,cust_0004,199,active,success,,2026-09-02T13:06:21.170379
sub_0013,cust_0053,499,active,failed,authentication_failed,2026-09-01T10:26:41.232571
sub_0014,cust_0078,1999,active,success,,2026-08-30T03:15:42.749750
sub_0015,cust_0007,499,active,success,,2026-08-31T21:45:28.852606
sub_0016,cust_0061,1999,active,failed,payment_timed_out,2026-09-01T22:20:58.877345
sub_0017,cust_0043,999,active,success,,2026-08-31T02:53:44.774928
sub_0018,cust_0033,1999,active,failed,card_expired,2026-09-02T12:55:41.878933
sub_0019,cust_0028,999,active,success,,2026-08-30T15:27:32.715754
sub_0020,cust_0062,999,active,success,,2026-09-01T02:25:24.921177
sub_0021,cust_0035,999,active,success,,2026-09-02T21:22:30.386323
sub_0022,cust_0048,1999,active,success,,2026-08-30T09:47:40.937224
sub_0023,cust_0018,999,active,success,,2026-09-03T06:57:07.277688
sub_0024,cust_0010,999,active,success,,2026-08-29T21:07:07.839024
sub_0025,cust_0061,499,active,success,,2026-09-02T11:45:06.620889
sub_0026,cust_0071,999,active,success,,2026-09-02T19:31:38.083526
sub_0027,cust_0075,499,active,success,,2026-09-02T06:54:18.127407
sub_0028,cust_0067,499,active,failed,authentication_failed,2026-08-31T07:26:47.944287
sub_0029,cust_0060,199,active,failed,bank_not_available,2026-08-31T02:15:25.061797
sub_0030,cust_0020,1999,active,success,,2026-08-31T05:39:10.311393
sub_0031,cust_0060,1999,active,success,,2026-08-31T05:56:07.285110
sub_0032,cust_0036,999,active,failed,incorrect_otp,2026-09-02T01:45:00.572558
sub_0033,cust_0073,499,active,success,,2026-08-31T19:46:54.216382
sub_0034,cust_0004,499,active,success,,2026-09-01T09:51:13.687670
sub_0035,cust_0004,1999,active,failed,incorrect_otp,2026-08-30T13:26:41.007894
sub_0036,cust_0037,199,active,success,,2026-09-03T10:53:16.583217
sub_0037,cust_0013,999,active,success,,2026-09-02T01:51:09.366185
sub_0038,cust_0069,1999,active,failed,authentication_failed,2026-08-30T01:17:19.695651
sub_0039,cust_0034,499,active,success,,2026-08-30T10:56:32.404599
